X,Y,Bed
460690.0,-1088300.0,-487.92
460580.0,-1088200.0,-486.14
460480.0,-1088100.0,-482.18
460380.0,-1088000.0,-476.96
460260.0,-1087900.0,-467.64
460160.0,-1087800.0,-453.4
460050.0,-1087700.0,-437.31
459940.0,-1087600.0,-425.62
459840.0,-1087500.0,-423.12
459730.0,-1087400.0,-429.68
459620.0,-1087400.0,-439.34
459510.0,-1087300.0,-444.07
459390.0,-1087200.0,-442.62
459280.0,-1087100.0,-438.82
459160.0,-1087000.0,-433.44
459050.0,-1086900.0,-420.47
458930.0,-1086800.0,-397.94
458820.0,-1086800.0,-373.51
458700.0,-1086700.0,-357.99
458570.0,-1086600.0,-320.43
458440.0,-1086500.0,-314.27
458320.0,-1086400.0,-298.89
458200.0,-1086400.0,-278.56
458080.0,-1086300.0,-257.91
457960.0,-1086200.0,-241.93
457830.0,-1086100.0,-231.22
457710.0,-1086100.0,-223.04
457590.0,-1086000.0,-215.31
457460.0,-1085900.0,-207.72
457330.0,-1085900.0,-199.9
457200.0,-1085800.0,-191.47
457070.0,-1085700.0,-183.44
456950.0,-1085700.0,-178.44
456820.0,-1085600.0,-176.47
456690.0,-1085600.0,-173.77
456560.0,-1085500.0,-162.48
456430.0,-1085500.0,-142.69
456300.0,-1085400.0,-119.4
456170.0,-1085300.0,-96.94
456040.0,-1085300.0,-79.59
455910.0,-1085200.0,-65.99
455780.0,-1085200.0,-55.8
455650.0,-1085100.0,-49.82
455520.0,-1085100.0,-49.43
455390.0,-1085000.0,-55.25
455260.0,-1085000.0,-66.34
455120.0,-1084900.0,-80.14
454990.0,-1084900.0,-92.72
454860.0,-1084800.0,-100.91
454730.0,-1084800.0,-102.59
454600.0,-1084800.0,-94.37
454470.0,-1084700.0,-79.76
454350.0,-1084700.0,-61.68
454220.0,-1084600.0,-48.14
454090.0,-1084600.0,-38.53
453960.0,-1084500.0,-29.62
453830.0,-1084500.0,-19.66
453710.0,-1084400.0,-9.3
453580.0,-1084400.0,-2.89
453460.0,-1084300.0,-3.31
453330.0,-1084300.0,-10.44
453210.0,-1084200.0,-29.09
453090.0,-1084200.0,-64.46
452950.0,-1084100.0,-111.26
452830.0,-1084100.0,-153.53
452710.0,-1084100.0,-180.23
452580.0,-1084000.0,-192.94
452460.0,-1084000.0,-202.38
452330.0,-1083900.0,-212.08
452210.0,-1083900.0,-219.81
452080.0,-1083900.0,-225.42
451950.0,-1083800.0,-231.41
451830.0,-1083800.0,-245.25
451710.0,-1083800.0,-270.15
451580.0,-1083700.0,-306.57
451460.0,-1083700.0,-350.09
451330.0,-1083600.0,-400.43
451210.0,-1083600.0,-456.92
451090.0,-1083600.0,-513.66
450960.0,-1083500.0,-559.48
450830.0,-1083500.0,-583.85
450710.0,-1083500.0,-583.11
450580.0,-1083400.0,-562.41
450460.0,-1083400.0,-534.96
450330.0,-1083400.0,-515.32
450210.0,-1083300.0,-514.62
450080.0,-1083300.0,-530.47
449950.0,-1083200.0,-550.33
449830.0,-1083200.0,-566.2
449710.0,-1083200.0,-577.26
449590.0,-1083100.0,-588.03
449460.0,-1083100.0,-602.23
449340.0,-1083000.0,-620.45
449220.0,-1083000.0,-641.08
449100.0,-1082900.0,-661.58
448970.0,-1082800.0,-678.71
448850.0,-1082800.0,-688.86
448740.0,-1082700.0,-691.05
448620.0,-1082700.0,-690.08
448500.0,-1082600.0,-694.31
448390.0,-1082500.0,-709.7
